English,Fon
"But he had no union with her until she gave birth to a son. And he gave him the name Jesus.After Jesus was born in Bethlehem in Judea, during the time of King Herod, Magi from the east came to Jerusalem ","Lo ɔ́, é ɖó xó xá ɛ, káká cóbɔ é ji vǐ ɔ́ ǎ. Jozɛ́fu sun nyǐ vǐ ɔ́ ɖɔ Jezu.È ji Jezu ɖo Bɛteleyɛ́mu ɖo Juda yíkúngban jí, axɔ́sú Elódu hwenu; nǔnywɛ́tɔ́ e nɔ́ mɔ nǔ jɛ sun sín wuntun wú lɛ́ɛ ɖěe gosín zǎnzǎnhwe jí wá Jeluzalɛ́mu. "
"and asked, “Where is the one who has been born king of the Jews? We saw his star in the east and have come to worship him.” ","Ée yě wá ɔ́, yě ɖɔ: “Fítɛ́ Jwifu lɛ́ɛ xɔ́sú e è ji ɔ́ ɖe? Ɖó mǐ mɔ sunví e ɖe jiji tɔn xlɛ́ ɔ́ ɖo zǎnzǎnhwe jí fí e mǐ gosín ɔ́, bó wá xwé kanbyɔ́ gbé.” "
"When King Herod heard this he was disturbed, and all Jerusalem with him. ","Ée axɔ́sú Elódu se xó énɛ́ ɔ́, ayi tɔn bǐ gbadó é kpódó Jeluzalɛ́mu togun ɔ́ bǐ kpó, "
"When he had called together all the people's chief priests and teachers of the law, he asked them where the Christ was to be born. ","bɔ é ylɔ́ vɔ̌sánú-xwlémawutɔ́gán lɛ́ɛ bǐ kplé kpódó sɛ́nkplɔ́nmɛtɔ́ tɔn lɛ́ɛ kpó, lobo kan fí e è ɖǒ ná ji Klísu ɖe ɔ́ byɔ́ yě. "
"“In Bethlehem in Judea,” they replied, “for this is what the prophet has written: ","Yě ká yí gbe n'i ɖɔ: “Bɛteleyɛ́mu, Judée yíkúngban jí wɛ, ɖó Mawu kó ɖɔ gbɔn gbeyíɖɔ tɔn lɛ́ɛ jí ɖɔ: "
"“ ‘But you, Bethlehem, in the land of Judah, are by no means least among the rulers of Judah; for out of you will come a ruler who will be the shepherd of my people Israel.’ ” ","‘Hwɛ, Bɛteleyɛ́mu, toxo e ɖo Juda yíkúngban jí é! A ɖo tó ɖěbǔ ɖo Juda toxo ɖaxó lɛ́ɛ mɛ ǎ, ɖó agblo towe mɛ wɛ axɔ́sú ɖé ná tɔ́n ɖe, bó ná kpé nukún dó togun ce Izlayɛ́li wú.’ ” "
Then Herod called the Magi secretly and found out from them the exact time the star had appeared. ,"Elódu ka zɔ́n, bɔ è yi ylɔ́ nǔnywɛ́tɔ́ lɛ́ɛ wá n'i. Ée yě wá ɔ́, é kplá yě yi kpá, bo kan hwenu e sunví ɔ́ tɔ́n dó ɔ́ byɔ́ yě tlítlí. "
"He sent them to Bethlehem and said, “Go and make a careful search for the child. As soon as you find him, report to me, so that I too may go and worship him.” ","Énɛ́ gúdo ɔ́, é nyi nǔnywɛ́tɔ́ énɛ́ lɛ́ɛ sɛ́ dó Bɛteleyɛ́mu bó ɖɔ nú yě ɖɔ: “Mi yi ba do nú vǐ ɔ́ céɖécéɖé, mi ka mɔ ɛ hǔn, mi wá ɖɔ nú mì, nú nyɛ lɔmɔ̌ ná yi kan xwé byɔ́.” "
"After they had heard the king, they went on their way, and the star they had seen in the east went ahead of them until it stopped over the place where the child was. ","Ée axɔ́sú ɔ́ ɖɔ mɔ̌ nú yě gúdo ɔ́, yě jɛ ali. Sunví e tɔ́n bɔ yě kó mɔ ɖ'ayǐ ɔ́ wá jɛ nukɔn nú yě. Ée yě lɛ́ mɔ sunví ɔ́ lě ɔ́, é hun xomɛ nú yě tlala, bɔ sunví ɔ́ ɖo nukɔn nú yě mɔ̌, káká yi fí e vǐ ɔ́ ɖe ɔ́, bó nɔ te. "
"On coming to the house, they saw the child with his mother Mary, and they bowed down and worshiped him. Then they opened their treasures and presented him with gifts of gold and of incense and of myrrh. ","Énɛ́ ɔ́, yě byɔ́ xwé ɔ́ gbe, bó mɔ vǐ ɔ́ kpódó nɔ tɔn kpó, bó jɛ kpo, bó ɖe kɔ́ n'i; yě hun gbǎví yětɔn lɛ́ɛ, bó kan agban n'i; yě ná ɛ siká, bó ná ɛ zǎlínkpɔ́n kpódó célu xɔ akwɛ́ ɖé kpán, bɔ è nɔ ylɔ́ célu ɔ́ ɖɔ Mǐla. "
"And having been warned in a dream not to go back to Herod, they returned to their country by another route. ",Mawu ka wá xo dlɔ̌ yě ɖɔ yě ní ma sɔ́ lɛ́ kɔ gbɔn Elódu gɔ́n ó
"When they had gone, an angel of the Lord appeared to Joseph in a dream. “Get up,” he said, “take the child and his mother and escape to Egypt. Stay there until I tell you, for Herod is going to search for the child to kill him.” ","Ée nǔnywɛ́tɔ́ énɛ́ lɛ́ɛ yi gúdo ɔ́, wɛnsagun Aklúnɔ tɔn wá xo dlɔ̌ Jozɛ́fu bó ɖɔ n'i ɖɔ: “Sí te, zě vǐ ɔ́, kplá nɔ tɔn, bó hɔn yi Ejípu; nɔ dɔ̌n káká yi jɛ hwenu e un ná lɛ́ wá ɖɔ xó nú we dó é. Ɖó Elódu ɖo vǐ ɔ́ ba ná hu wɛ.” "
"So he got up, took the child and his mother during the night and left for Egypt, ","Jozɛ́fu ka sí te zǎn ɔ́ mɛ nǔgbó, bó zé vǐ ɔ́, bó kplá vǐ ɔ́ sín nɔ, bɔ yě hɔn yi Ejípu, "
where he stayed until the death of Herod. And so was fulfilled what the Lord had said through the prophet: “Out of Egypt I called my son.” ,"lobo nɔ fínɛ́ káká jɛ hwenu e Elódu kú é. Nǔ nyí mɔ̌, nú xó e Aklúnɔ ko ɖɔ ɖ'ayǐ gbɔn gbeyíɖɔ tɔn jí ɔ́ ná dó jɛ; é wɛ nyí ɖɔ: “Un ylɔ́ vǐ ce sín Ejípu.” "
"When Herod realized that he had been outwitted by the Magi, he was furious, and he gave orders to kill all the boys in Bethlehem and its vicinity who were two years old and under, in accordance with the time he had learned from the Magi. ","Ée Elódu mɔ ɖɔ nǔnywɛ́tɔ́ lɛ́ɛ flú émí ɔ́, xomɛ sin i tlala. É kpɔ́n hwenu e è ji vǐ ɔ́ dó bɔ nǔnywɛ́tɔ́ lɛ́ɛ ɖɔ céɖécéɖé tɔn n'i ɔ́, bó sɛ́ mɛ dó ɖɔ yě nǐ yi hu vǐ súnnu e ma ko ɖó xwe we ǎ lɛ́ɛ káká yi jɛ ée kó ɖó xwe we lɛ́ɛ jí gbɔn Bɛteleyɛ́mu kpódó gletoxo e lɛ́ lɛ̌ dó e lɛ́ɛ kpó mɛ. "
Then what was said through the prophet Jeremiah was fulfilled: ,"Énɛ́ ɔ́, nǔ e gbeyíɖɔ Jelemíi kó ɖɔ ɖ'ayǐ ɔ́ jɛ; é wɛ nyí ɖɔ: "
"“A voice is heard in Ramah, weeping and great mourning, Rachel weeping for her children and refusing to be comforted, because they are no more.” ","“È se mɛɖé ɖo xó sú wɛ ɖo Lama, bɔ é ɖo avǐ ya wɛ, bó ɖo alě ná wɛ tlala; Hlacɛ́li wɛ ɖo vǐ tɔn lɛ́ɛ ví wɛ, bó jló ná se gbɔ ǎ, ɖó vǐ tɔn lɛ́ɛ sɔ́ ɖe ǎ.” "
"After Herod died, an angel of the Lord appeared in a dream to Joseph in Egypt ","Ée Elódu kú ɔ́, wɛnsagun Aklúnɔ tɔn ɖokpó wá xo dlɔ̌ Jozɛ́fu ɖo Ejípu, "
"and said, “Get up, take the child and his mother and go to the land of Israel, for those who were trying to take the child's life are dead.” ","bó ɖɔ n'i ɖɔ: “Sí te; zě vǐ ɔ́, kplá nɔ tɔn, bó lɛ́ kɔ yi Izlayɛ́li; ɖó mɛ e ɖo vǐ ɔ́ ba ná hu wɛ lɛ́ɛ kó kú.” "
"So he got up, took the child and his mother and went to the land of Israel. ","Nǔgbó ɔ́, Jozɛ́fu sí te, bó zé vǐ ɔ́, bó kplá vǐ ɔ́ sín nɔ, bó lɛ́ kɔ yi Izlayɛ́li. "
"But when he heard that Archelaus was reigning in Judea in place of his father Herod, he was afraid to go there. Having been warned in a dream, he withdrew to the district of Galilee, ","Lo ɔ́, ée é se ɖɔ Akelawúsi wɛ ɖo tɔ́ tɔn Elódu zinkpo jí, bó ɖo axɔ́sú ɖu wɛ ɖo Judée ɔ́, fínɛ́ yiyi dó xɛsi n'i; Mawu ka lɛ́ xo dlɔ̌ ɛ, bɔ é gbɔ bó yi Galilée yíkúngban jí, "
"and he went and lived in a town called Nazareth. So was fulfilled what was said through the prophets: “He will be called a Nazarene.”In those days John the Baptist came, preaching in the Desert of Judea ","lobo yi cí to e è nɔ ylɔ́ ɖɔ Nazalɛ́ti ɔ́ mɛ, bónú nǔ e gbeyíɖɔ Mawu tɔn lɛ́ɛ kó wlán ɔ́ ná dó jɛ, é wɛ nyí ɖɔ: “È nǎ ylɔ́ Mɛhwlɛ́ngántɔ́ ɔ́ ɖɔ Nazalɛ́tinu.”Hwenɛ́nu ɔ́, Jǎan Yɛhwesinlɛnúmɛtɔ́ ɔ́ wá, bó ɖo Mawuxó jlá wɛ ɖo gbětótló mɛ ɖo Judée, "
"and saying, “Repent, for the kingdom of heaven is near.” ","bó nɔ́ ɖɔ: “Mi lɛ́ kɔ sín hwɛ mitɔn lɛ́ɛ gúdo, ɖó axɔ́súɖuɖu sɛ́xwé tɔn kó sɛ yá.” "
"This is he who was spoken of through the prophet Isaiah: “A voice of one calling in the desert, ‘Prepare the way for the Lord, make straight paths for him.’ ” ","Jǎan wɛ nyí mɛ e wú gbeyíɖɔ Mawu tɔn Ezayíi ɖɔ xógbe élɔ́ dó é: “È se mɛɖé ɖo xó sú wɛ ɖo gbětótló mɛ, bó ɖo ɖiɖɔ wɛ ɖɔ: ‘Mi bló ali ɖó nú Aklúnɔ, mi jlɔ́ ali tɔn lɛ́ɛ ɖó.’ ” "
"John's clothes were made of camel's hair, and he had a leather belt around his waist. His food was locusts and wild honey. ","Awu kacakaca ɖé wɛ Jǎan nɔ dó, bɔ è sɔ́ lǎkúnmí sín fún dó lɔn ná, bɔ é nɔ́ sin gǒjíblánú e è sɔ́ anyǔ dó bló ná é. É nɔ ɖu wɛn kpódó wǐin akú kpó. "
People went out to him from Jerusalem and all Judea and the whole region of the Jordan. ,"Jeluzalɛ́munu lɛ́ɛ, Judéenu lɛ́ɛ kpódó mɛ e ɖo to e ɖo Judɛ́ɛn tɔ kpá é mɛ lɛ́ɛ kpó nɔ́ yi gɔ̌n tɔn. "
"Confessing their sins, they were baptized by him in the Jordan River. ","Yě nɔ́ ɖɔ hwɛ yětɔn lɛ́ɛ, bɔ Jǎan nɔ lɛ yɛhwesin nú yě ɖo Judɛ́ɛn tɔ ɔ́ mɛ. "
"But when he saw many of the Pharisees and Sadducees coming to where he was baptizing, he said to them: “You brood of vipers! Who warned you to flee from the coming wrath? ","Ée é mɔ Falizyɛn lɛ́ɛ kpódó Saduseɛn lɛ́ɛ gěgé kpó wá yɛhwesin lɛ gbé ɔ́, é ɖɔ nú yě ɖɔ: “Jakpata kúnkan e mi! Mɛ̌ ka kplɔ́n mi ɖɔ mi ní hɔn nú xomɛsin Mawu tɔn e jǎwe ɔ́?” "
Produce fruit in keeping with repentance. ,Nǔwiwa mitɔn lɛ́ɛ ní bó ɖe xlɛ́ ɖɔ mi lɛ́ kɔ sín hwɛ mitɔn lɛ́ɛ gúdo nǔgbó. 
"And do not think you can say to yourselves, ‘We have Abraham as our father.’ I tell you that out of these stones God can raise up children for Abraham. ","Mi ma vɛdó ɖɔ ée émí ko nyí Ablaxámu ví kpowun ɔ́, é ko kpé wɛ sín ó. Ɖó, ma ɖɔ nú mi, awǐnnya e mɔ wɛ mi ɖe nɛ́ lɛ́ɛ ɔ́, Mawu hɛn ɔ́, é ná sɔ́ yě dó húzú vǐ nú Ablaxámu. "
"The ax is already at the root of the trees, and every tree that does not produce good fruit will be cut down and thrown into the fire. ","Asyɔ́ví ɖíe ko ɖo atín lɛ́ɛ sín ɖɔ wú e: atín e ma nɔ ná sínsɛ́n ɖagbe ǎ ɔ́, è nǎ gbo e, bó bɛ́ kɔn nyi myɔ mɛ. "
Then Jesus came from Galilee to the Jordan to be baptized by John. ,"Hwe énɛ́ ɔ́ nu wɛ Jezu gosín Galilée yíkúngban jí, bó wá Jǎan gɔ́n ɖo Judɛ́ɛn tɔ ɔ́ nu, bónú Jǎan ná lɛ yɛhwesin n'i. "
"But John tried to deter him, saying, “I need to be baptized by you, and do you come to me?” ","Jǎan ka gbɛ́, bó ɖɔ: “Nyi wɛ ɖó ná wá gɔ̌n towe, bɔ a nǎ lɛ yɛhwesin nú mì, bɔ hwɛ ka wá gɔ̌n ce a?” "
"Jesus replied, “Let it be so now; it is proper for us to do this to fulfill all righteousness.” Then John consented. ","Jezu ka yí gbe n'i ɖɔ: “Vɛ̌ gbɔ, ní to nyí mɔ̌ hwɛ̌; ɖó lě e mǐ sixú wa nǔ jlɔ́jlɔ́ gbɔn é nɛ́.” Énɛ́ ɔ́, Jǎan yí gbe. "
"As soon as Jesus was baptized, he went up out of the water. At that moment heaven was opened, and he saw the Spirit of God descending like a dove and lighting on him. ","Ée é lɛ yɛhwesin n'i fó ɔ́, Jezu tɔ́n sín tɔ ɔ́ mɛ; tlóló ɔ́, jǐnukúnsin kɛ wun, bɔ Yɛ Mawu tɔn cí ahwannɛ́ ɖɔhun, bó wá jɛ te dó jǐ tɔn. "
"And a voice from heaven said, “This is my Son, whom I love; with him I am well pleased.”Then Jesus was led by the Spirit into the desert to be tempted by the devil. ","Tlóló ɔ́, è se gbe ɖé sín jǐxwé bɔ é ɖɔ: “Vǐ ce vívɛ́ná wɛ mɛ élɔ́ nyí; xomɛ nɔ hun mì dó wǔtu tɔn tlala.”Énɛ́ ɔ́ gúdo ɔ́, Yɛ ɔ́ kplá Jezu yi gbětótló mɛ bónú awǒvi ná tɛ́n ɛ kpɔ́n. "
"After fasting forty days and forty nights, he was hungry. ","Jezu blá nu xɔ kéze kanɖé (40), zǎn kanɖé (40), énɛ́ ɔ́ gúdo ɔ́, xovɛ́ wá sín i, "
"The tempter came to him and said, “If you are the Son of God, tell these stones to become bread.” ","bɔ mɛtɛ́nkpɔ́ntɔ́ ɔ́ sɛ yá ɛ, bó ɖɔ n'i ɖɔ: “Nú Mawu ví jɛ́n wɛ a nyǐ nǔgbó hǔn, ɖe gbe nú awǐnnya élɔ́ lɛ́ɛ, nú yě ní húzú nǔɖuɖu.” "
"Jesus answered, “It is written: ‘Man does not live on bread alone, but on every word that comes from the mouth of God.’ ” ","Jezu ka yí gbe n'i ɖɔ: “È ko wlán dó Mawuxówéma ɔ́ mɛ ɖɔ jí: ‘Nǔɖuɖu kɛ́ɖɛ́ wɛ gbɛtɔ́ nɔ́ ɖu bó nɔ́ nɔ gbɛ ǎ; lo ɔ́, xó e ko tɔ́n sín Mawu nu mɛ ɔ́ bǐ wɛ nɔ́ hɛn mɛ ɖó gbɛ.’ ” "
Then the devil took him to the holy city and had him stand on the highest point of the temple. ,"Énɛ́ ɔ́ gúdo ɔ́, awǒvi kplá Jezu yi Jeluzalɛ́mu, to mímɛ́ ɔ́ mɛ, bó sɔ́ ɛ ɖó sinsɛnxɔ ɔ́ ta aga ɖéé, "
"“If you are the Son of God,” he said, “throw yourself down. For it is written: “ ‘He will command his angels concerning you, and they will lift you up in their hands, so that you will not strike your foot against a stone.’ ” ","bó ɖɔ n'i ɖɔ: “Mawu ví jɛ́n a nyǐ nǔgbó hǔn, lɔ̌n yi jɛ dodomɛ; ɖó è ko wlán dó Mawuxówéma ɔ́ mɛ ɖɔ jí: ‘Mawu ná zɔ́n wɛnsagun tɔn lɛ́ɛ, bɔ yě ná hɛn we dó alɔ mɛ, bónú a ma yi klɛ́n afɔ dó awǐnnya ɖé wú ó.’ ” "
"Jesus answered him, “It is also written: ‘Do not put the Lord your God to the test.’ ” ",Jezu ka yí gbe n'i ɖɔ: “Mɔ̌ jɛ́n wɛ è lɛ́ wlán ɖɔ jí: ‘Ma tɛ́n Aklúnɔ Mawu towe kpɔ́n ó.’ ” 
"Again, the devil took him to a very high mountain and showed him all the kingdoms of the world and their splendor. ","Awǒvi lɛ́ kplá ɛ yi só ɖé jí; só ɔ́ yi jǐ ɖésú; é xlɛ́ ɛ axɔ́súɖuto gbɛmɛ fí tɔn lɛ́ɛ, kpódó dɔkun yětɔn lɛ́ɛ kpan, "
"“All this I will give you,” he said, “if you will bow down and worship me.” ","lobo ɖɔ n'i ɖɔ: “Ényí a jɛ kpo, bó ɖe kɔ́ nú mì ɔ́, un ná ná nǔ énɛ́ lɛ́ɛ bǐ we.” "
"Jesus said to him, “Away from me, Satan! For it is written: ‘Worship the Lord your God, and serve him only.’ ” ","Jezu ka ɖɔ n'i ɖɔ: “Satáan, bǔ dó mì! Ɖó è ko wlán dó Mawuxówéma ɔ́ mɛ ɖɔ jí: ‘Aklúnɔ Mawu towe wɛ a nǎ ɖe kɔ́ ná, lobo sɛn é ɖokpónɔ géé.’ ” "
"Then the devil left him, and angels came and attended him. ","Awǒvi ka jó e dó bo yi; bɔ wɛnsagun Mawu tɔn lɛ́ɛ wá Jezu gɔ́n, bo wá gɔ́ alɔ n'i. "
"When Jesus heard that John had been put in prison, he returned to Galilee. ","Ée Jezu se ɖɔ è wlǐ Jǎan dó gankpá mɛ ɔ́, é gosín fínɛ́, bo yi Galilée gbé jí. "
"Leaving Nazareth, he went and lived in Capernaum, which was by the lake in the area of Zebulun and Naphtali– ","Ée é gosín Nazalɛ́ti ɔ́, é yi cí Kafaanawúmu, to e ɖo Galilée xutó ɔ́ mɛ, ɖo Zabulɔ́ɔn kpódó Nɛfutali to kpan gbé jí. "
to fulfill what was said through the prophet Isaiah: ,"Nǔ nyí mɔ̌, bónú xó e gbeyíɖɔ Mawu tɔn Ezayíi ɖɔ ɔ́ na dó jɛ. È wɛ nyí ɖɔ: "
"“Land of Zebulun and land of Naphtali, the way to the sea, along the Jordan, Galilee of the Gentiles– ","“Togun e ɖo Zabulɔ́ɔn kpódó Nɛfutali kpó yíkúngban jí, bó ɖo xutó, ɖo Judɛ́ɛn tɔ ɔ́ sín akpá ɖě ɔ́ xwé, ɖo Galilée gbé jí, fí e mɛ e ma nyí Jwifu ǎ lɛ́ɛ ɖe é; "
the people living in darkness have seen a great light,Fon
"From that time on Jesus began to preach, “Repent, for the kingdom of heaven is near.” ","Bɛ́ sín hwenɛ́nu ɔ́, Jezu jɛ Wɛn Ɖagbe ɔ́ jlá jí, bo nɔ ɖɔ: “Mi lɛ́ kɔ sín hwɛ mitɔn lɛ́ɛ gúdo, ɖó axɔ́súɖuɖu sɛ́xwé tɔn ko sɛ yá.” "
"As Jesus was walking beside the Sea of Galilee, he saw two brothers, Simon called Peter and his brother Andrew. They were casting a net into the lake, for they were fishermen. ","Ée Jezu ɖo Galilée xutó gbɔn wɛ xweyǐgbe ɔ́, é mɔ nɔví nɔví we ɖé lɛ́ɛ, Sinmɔ́ɔ e è nɔ ylɔ́ ɖɔ Piyɛ́ɛ ɔ́, kpódó nɔví tɔn Andlé kpán, bɔ yě ɖo ɖɔ nyi wɛ ɖo xu jí, ɖó ɖɔnyitɔ́ wɛ nú yě. "
"“Come, follow me,” Jesus said, “and I will make you fishers of men.” ","Jezu ɖɔ nú yě ɖɔ: “Mi xwedó mì; un ná ná kplɔ́n mi, bɔ mi ná nɔ dɔn gbɛtɔ́ lɛ́ɛ, lě e mi nɔ nyi ɖɔ dó wlí hweví gbɔn é.” "
At once they left their nets and followed him. ,Yě ká jó ɖɔ yětɔn lɛ́ɛ dó tlóló bó xwedó e. 
"Going on from there, he saw two other brothers, James son of Zebedee and his brother John. They were in a boat with their father Zebedee, preparing their nets. Jesus called them, ","Jezu ná lɛ́ sɛ yi nukɔn kpɛɖé ɔ́, é mɔ Zebeɖée ví we, Jaki kpódó Jǎan kpó, bɔ yě kpódó tɔ́ yětɔn kpó ɖo akló mɛ, bo ɖo ɖɔ yětɔn lɛ́ɛ blóɖó wɛ. É ylɔ́ yě. "
and immediately they left the boat and their father and followed him. ,"Azɔn ɖokpó ɔ́, yě jó akló ɔ́ kpódó tɔ́ yětɔn kpó dó, bó xwedó e. "
"Jesus went throughout Galilee, teaching in their synagogues, preaching the good news of the kingdom, and healing every disease and sickness among the people. ","Jezu ka nɔ gbɔn Galilée gbé ɔ́ bǐ jí, bó nɔ́ ɖo nǔ kplɔ́n mɛ lɛ́ɛ wɛ, gbɔn kplɔ́ngbasá Jwifu lɛ́ɛ tɔn, bó nɔ́ ɖo axɔ́súɖuɖu Mawu tɔn sín Wɛn Ɖagbe jlá wɛ, lobo nɔ gbɔ azɔn alɔkpa alɔkpa lɛ́ɛ bǐ, kpódó wɔngblézɔn lɛ́ɛ bǐ kpó nú mɛ lɛ́ɛ ɖo togun ɔ́ mɛ. "
